period,ba,baAbb,value
2024-04-10T04,"Midcontinent Independent System Operator, Inc.",MISO,63589
2024-04-10T04,Nevada Power Company,NEVP,3857
2024-04-10T04,Balancing Authority of Northern California,BANC,1901
2024-04-10T04,"Duke Energy Florida, Inc.",FPC,5203
2024-04-10T04,Western Area Power Administration - Upper Great Plains West,WAUW,76
2024-04-10T04,"Dominion Energy South Carolina, Inc.",SCEG,2089
2024-04-10T04,Imperial Irrigation District,IID,437
2024-04-10T03,Gainesville Regional Utilities,GVL,231
2024-04-10T03,Duke Energy Carolinas,DUK,10489
2024-04-10T03,City of Homestead,HST,73
2024-04-10T03,NorthWestern Corporation,NWMT,1383
2024-04-10T03,Western Area Power Administration - Desert Southwest Region,WALC,1059
2024-04-10T03,Avista Corporation,AVA,1466
2024-04-10T03,Florida Municipal Power Pool,FMPP,1934
2024-04-10T03,Duke Energy Progress West,CPLW,478
2024-04-10T03,Public Utility District No. 1 of Chelan County,CHPD,186
2024-04-10T03,Duke Energy Progress East,CPLE,5662
2024-04-10T03,Southwest Power Pool,SWPP,29188
2024-04-10T03,El Paso Electric Company,EPE,939
2024-04-10T03,PacifiCorp West,PACW,2282
2024-04-10T03,Nevada Power Company,NEVP,3947
2024-04-10T03,PUD No. 1 of Douglas County,DOPD,229
2024-04-10T03,Tampa Electric Company,TEC,2389
2024-04-10T03,Portland General Electric Company,PGE,2552
2024-04-10T03,Imperial Irrigation District,IID,458
2024-04-10T03,"Electric Reliability Council of Texas, Inc.",ERCO,50353
2024-04-10T03,Western Area Power Administration - Upper Great Plains West,WAUW,73
2024-04-10T03,City of Tallahassee,TAL,290
2024-04-10T03,Arizona Public Service Company,AZPS,3646
2024-04-10T03,Los Angeles Department of Water and Power,LDWP,2753
2024-04-10T03,Louisville Gas and Electric Company and Kentucky Utilities Company,LGEE,3541
2024-04-10T03,"Public Utility District No. 2 of Grant County, Washington",GCPD,713
2024-04-10T03,"Duke Energy Florida, Inc.",FPC,5926
2024-04-10T03,Tucson Electric Power,TEPC,1482.1
2024-04-10T03,Public Service Company of Colorado,PSCO,5137
2024-04-10T03,Bonneville Power Administration,BPAT,6661
2024-04-10T03,ISO New England,ISNE,11316
2024-04-10T03,"City of Tacoma, Department of Public Utilities, Light Division",TPWR,543
2024-04-10T03,Turlock Irrigation District,TIDC,316
2024-04-10T03,Florida Power & Light Co.,FPL,15053
2024-04-10T03,"Dominion Energy South Carolina, Inc.",SCEG,2258
2024-04-10T03,New York Independent System Operator,NYIS,14845
2024-04-10T03,South Carolina Public Service Authority,SC,2589
2024-04-10T03,"Associated Electric Cooperative, Inc.",AECI,1932
2024-04-10T03,"Puget Sound Energy, Inc.",PSEI,2931
2024-04-10T03,"Midcontinent Independent System Operator, Inc.",MISO,66987
2024-04-10T03,PacifiCorp East,PACE,5816
2024-04-10T03,Seattle City Light,SCL,1118
2024-04-10T03,"PJM Interconnection, LLC",PJM,
2024-04-10T03,"Southern Company Services, Inc. - Trans",SOCO,22944
2024-04-10T03,Seminole Electric Cooperative,SEC,198
2024-04-10T03,California Independent System Operator,CISO,23507
2024-04-10T03,JEA,JEA,1346
2024-04-10T03,Public Service Company of New Mexico,PNM,1630
2024-04-10T03,Balancing Authority of Northern California,BANC,1891
2024-04-10T03,Southwestern Power Administration,SPA,30
